Date,Adjusted,Asylum support payment (£)
2011-12-01,Nominal,42.62
2012-01-01,Inflation-adjusted,45.05285412262156
2012-01-01,Nominal,42.62
2012-02-01,Inflation-adjusted,44.81598317560463
2012-02-01,Nominal,42.62
2012-03-01,Inflation-adjusted,44.675052410901465
2012-03-01,Nominal,42.62
2012-04-01,Inflation-adjusted,44.395833333333336
2012-04-01,Nominal,42.62
2012-05-01,Inflation-adjusted,44.44212721584984
2012-05-01,Nominal,42.62
2012-06-01,Inflation-adjusted,44.6282722513089
2012-06-01,Nominal,42.62
2012-07-01,Inflation-adjusted,44.58158995815899
2012-07-01,Nominal,42.62
2012-08-01,Inflation-adjusted,44.34963579604578
2012-08-01,Nominal,42.62
2012-09-01,Inflation-adjusted,44.16580310880829
2012-09-01,Nominal,42.62
2012-10-01,Inflation-adjusted,43.93814432989691
2012-10-01,Nominal,42.62
2012-11-01,Inflation-adjusted,43.8477366255144
2012-11-01,Nominal,42.62
2012-12-01,Inflation-adjusted,43.66803278688524
2012-12-01,Nominal,42.62
2013-01-01,Inflation-adjusted,43.892893923789906
2013-01-01,Nominal,42.62
2013-02-01,Inflation-adjusted,43.578732106339466
2013-02-01,Nominal,42.62
2013-03-01,Inflation-adjusted,43.44546381243629
2013-03-01,Nominal,42.62
2013-04-01,Inflation-adjusted,43.35707019328586
2013-04-01,Nominal,42.62
2013-05-01,Inflation-adjusted,43.26903553299492
2013-05-01,Nominal,42.62
2013-06-01,Inflation-adjusted,43.35707019328586
2013-06-01,Nominal,42.62
2013-07-01,Inflation-adjusted,43.35707019328586
2013-07-01,Nominal,42.62
2013-08-01,Inflation-adjusted,43.18135764944275
2013-08-01,Nominal,42.62
2013-09-01,Inflation-adjusted,43.00706357214934
2013-09-01,Nominal,42.62
2013-10-01,Inflation-adjusted,43.00706357214934
2013-10-01,Nominal,42.62
2013-11-01,Inflation-adjusted,42.96370967741935
2013-11-01,Nominal,42.62
2013-12-01,Inflation-adjusted,42.791164658634536
2013-12-01,Nominal,42.62
2014-01-01,Inflation-adjusted,43.050505050505045
2014-01-01,Nominal,42.62
2014-02-01,Inflation-adjusted,42.834170854271356
2014-02-01,Nominal,42.62
2014-03-01,Inflation-adjusted,42.74824473420261
